ID PDC local;Statut du point de recharge;URL Description Point de charge;Heure mise Ã  jour;coordonneesXY;adresse_station;code_insee_commune;arrondissement
FR*V75*EPX18*01*7;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*01*7;2025-01-06T03:30:05+00:00;48.898304, 2.3423252;1 Rue Fernand Labori 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*14*5;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*14*5;2025-01-06T03:30:05+00:00;48.884415, 2.3305461;1 Avenue Rachel 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*04*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*04*1;2025-01-06T05:32:34+00:00;48.887253, 2.3330069;17 Rue Caulaincourt 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*10*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*10*1;2025-01-06T03:30:05+00:00;48.8823, 2.3395;2 Boulevard de Clichy 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*13*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*13*2;2025-01-06T06:50:54+00:00;48.891644, 2.344978;62 Rue Ramey 75018 Paris;75118;18e Arrondissement
FR*V75*E9018*05*2;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9018*05*2;2025-01-06T03:30:05+00:00;48.89061, 2.35423;27 Rue Ordener 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*02*1;OccupÃ© (en charge);https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*02*1;2025-01-06T07:37:57+00:00;48.89919, 2.330375;48 Rue Henri Huchard 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*10*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*10*2;2025-01-06T03:30:05+00:00;48.8823, 2.3395;2 Boulevard de Clichy 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*10*3;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*10*3;2025-01-06T03:30:05+00:00;48.8823, 2.3395;2 Boulevard de Clichy 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*12*4;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*12*4;2025-01-06T08:03:33+00:00;48.893276, 2.3395;120 Rue Ordener 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*07*6;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*07*6;2025-01-06T07:51:09+00:00;48.8861, 2.3591;1 Rue Jean-FranÃ§ois LÃ©pine 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*01*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*01*2;2025-01-06T03:30:05+00:00;48.898304, 2.3423252;1 Rue Fernand Labori 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*03*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*03*2;2025-01-06T03:30:05+00:00;48.89905, 2.3649826;52 Rue Charles Hermite 75018 Paris;75118;18e Arrondissement
FR*V75*E9018*04*1;OccupÃ© (en charge);https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9018*04*1;2025-01-06T07:17:41+00:00;48.89311, 2.34066;110 Rue Ordener 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*05*5;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*05*5;2025-01-06T07:26:44+00:00;48.88836, 2.3480344;17 Rue Custine 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*01*4;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*01*4;2025-01-06T03:30:05+00:00;48.898304, 2.3423252;1 Rue Fernand Labori 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*04*4;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*04*4;2025-01-06T08:01:20+00:00;48.887253, 2.3330069;17 Rue Caulaincourt 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*04*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*04*2;2025-01-06T06:39:42+00:00;48.887253, 2.3330069;17 Rue Caulaincourt 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*15*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*15*2;2025-01-06T03:30:05+00:00;48.892082, 2.3331354;220 Rue Marcadet 75018 Paris;75118;18e Arrondissement
